Episode 510, Reward: 248.4, Epsilon: 0.077
Episode 511, Reward: 266.1, Epsilon: 0.077
Episode 512, Reward: 270.4, Epsilon: 0.076
Episode 513, Reward: 263.1, Epsilon: 0.076
Episode 514, Reward: 102.7, Epsilon: 0.076
Episode 515, Reward: 222.9, Epsilon: 0.075
Episode 516, Reward: -48.7, Epsilon: 0.075
Episode 517, Reward: 119.2, Epsilon: 0.075
Episode 518, Reward: 109.7, Epsilon: 0.074
Episode 519, Reward: 153.8, Epsilon: 0.074
Episode 520, Reward: 240.2, Epsilon: 0.073
Episode 521, Reward: 258.7, Epsilon: 0.073
Episode 522, Reward: -171.2, Epsilon: 0.073
Episode 523, Reward: 282.7, Epsilon: 0.072
Episode 524, Reward: 258.6, Epsilon: 0.072
Episode 525, Reward: 246.8, Epsilon: 0.072
Episode 526, Reward: 115.1, Epsilon: 0.071
Episode 527, Reward: 234.2, Epsilon: 0.071
Episode 528, Reward: 200.2, Epsilon: 0.071
Episode 529, Reward: 259.4, Epsilon: 0.070
Episode 530, Reward: 277.8, Epsilon: 0.070
Episode 531, Reward: 281.1, Epsilon: 0.069
Episode 532, Reward: 289.6, Epsilon: 0.069
Episode 533, Reward: 285.7, Epsilon: 0.069
